,CIS Control,CIS Sub-Control,Asset Type,Security Function,Title,Description,IG1,IG2,IG3,Relationship,Control Identifier,Control or Control Enhancement Name,Control Text,Moderate Baseline
,2,2.1,Software,Identify,Establish and Maintain a Software Inventory,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",x,x,x,Superset,MA-3,Maintenance Tools,"a. Approve, control, and monitor the use of system maintenance tools; and
b. Review previously approved system maintenance tools [Assignment: organization-defined frequency].",x
,2,2.2,Software,Identify,Ensure Authorized Software is Currently Supported ,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise’s mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently.",x,x,x,Equivalent,SA-22,Unsupported System Components,"a. Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or
b. Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].",
,2,2.3,Software,Respond,Address Unauthorized Software,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",x,x,x,Subset,CM-7(2),Least Functionality | Prevent Program Execution,"Prevent program execution in accordance with [Selection (one or more): [Assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage].",x
,2,2.3,Software,Respond,Address Unauthorized Software,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",x,x,x,Subset,CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and
(b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].",x
,2,2.3,Software,Respond,Address Unauthorized Software,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",x,x,x,Subset,CM-10,Software Usage Restrictions,"a. Use software and associated documentation in accordance with contract agreements and copyright laws;
b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and
c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",x
,2,2.3,Software,Respond,Address Unauthorized Software,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",x,x,x,Subset,CM-11,User-installed Software,"a. Establish [Assignment: organization-defined policies] governing the installation of software by users;
b. Enforce software installation policies through the following methods: [Assignment: organization-defined methods]; and
c. Monitor policy compliance [Assignment: organization-defined frequency].",
,2,2.4,Software,Detect,Utilize Automated Software Inventory Tools,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software. ",,x,x,Subset,CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and
(b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].",x
,2 ,2.5,Software,Protect,Allowlist Authorized Software,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",,x,x,Equivalent,CM-7(5),Least Functionality | Authorized Software — Allow-by-exception,"(a) Identify [Assignment: organization-defined software programs authorized to execute on the system];
(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and
(c) Review and update the list of authorized software programs [Assignment: organization-defined frequency].",x
,2 ,2.5,Software,Protect,Allowlist Authorized Software,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",,x,x,Superset,CM-10,Software Usage Restrictions,"a. Use software and associated documentation in accordance with contract agreements and copyright laws;
b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and
c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",
,2 ,2.6,Software,Protect,Allowlist Authorized Libraries," Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx,  and .so files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently.",,x,x,Subset,CM-7,Least Functionality,"a. Configure the system to provide only [Assignment: organization-defined mission essential capabilities]; and
b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].",
,2 ,2.6,Software,Protect,Allowlist Authorized Libraries," Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx,  and .so files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently.",,x,x,Superset,CM-7(1),Least Functionality | Periodic Review,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and
(b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",x
,2,2.7,Software,Protect,Allowlist Authorized Scripts,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",,,x,Subset,CM-7,Least Functionality,"a. Configure the system to provide only [Assignment: organization-defined mission essential capabilities]; and
b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].",
,2,2.7,Software,Protect,Allowlist Authorized Scripts,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",,,x,Superset,CM-7(1),Least Functionality | Periodic Review,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and
(b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",x
,2,2.7,Software,Protect,Allowlist Authorized Scripts,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",,,x,Superset,SI-7,"Software, Firmware, and Information Integrity","a. Employ integrity verification tools to detect unauthorized changes to the following software, firmware, and information: [Assignment: organization-defined software, firmware, and information]; and
b. Take the following actions when unauthorized changes to the software, firmware, and information are detected: [Assignment: organization-defined actions].",x
,2,2.7,Software,Protect,Allowlist Authorized Scripts,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently.",,,x,Superset,SI-7(1),"Software, Firmware, and Information Integrity | Integrity Checks","Perform an integrity check of [Assignment: organization-defined software, firmware, and information] [Selection (one or more): at startup; at [Assignment: organization-defined transitional states or security-relevant events]; [Assignment: organization-defined frequency]].",x
,3,,,,Data Protection,,,,,,,,,
,,,,,"Develop processes and technical controls to identify, classify, securely handle, retain, and dispose of data.",,,,,,,,,
,3,3.1,Data,Govern,Establish and Maintain a Data Management Process,"Establish and maintain a documented data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x,Superset,AU-11,Audit Record Retention,Retain audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,x
,3,3.1,Data,Govern,Establish and Maintain a Data Management Process,"Establish and maintain a documented data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x,Subset,CM-12,Information Location,"a. Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;
b. Identify and document the users who have access to the system and system components where the information is processed and stored; and
c. Document changes to the location (i.e., system or system components) where the information is processed and stored.",x
,3,3.1,Data,Govern,Establish and Maintain a Data Management Process,"Establish and maintain a documented data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",x,x,x,Equivalent,SI-12,Information Management and Retention,"Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, standards, guidelines and operational requirements.",x
,3,3.2,Data,Identify,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",x,x,x,Superset,CM-12,Information Location,"a. Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;
b. Identify and document the users who have access to the system and system components where the information is processed and stored; and
c. Document changes to the location (i.e., system or system components) where the information is processed and stored.",x
,3,3.2,Data,Identify,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",x,x,x,Superset,PM-5(1),System Inventory | Inventory of Personally Identifiable Information,"Establish, maintain, and update [Assignment: organization-defined frequency] an inventory of all systems, applications, and projects that process personally identifiable information.",N/A - Deployed organiation-wide
,3,3.2,Data,Identify,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",x,x,x,Superset,PM-5(1),System Inventory | Inventory of Personally Identifiable Information,"Establish, maintain, and update [Assignment: organization-defined frequency] an inventory of all systems, applications, and projects that process personally identifiable information.",N/A - Deployed organiation-wide
,3,3.2,Data,Identify,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",x,x,x,Superset,PM-5(1),System Inventory | Inventory of Personally Identifiable Information,"Establish, maintain, and update [Assignment: organization-defined frequency] an inventory of all systems, applications, and projects that process personally identifiable information.",N/A - Deployed organiation-wide
,3,3.2,Data,Identify,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data.",x,x,x,Subset,RA-2,Security Categorization,"a. Categorize the system and information it processes, stores, and transmits;
b. Document the security categorization results, including supporting rationale, in the security plan for the system; and
c. Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision.",N/A - Deployed organiation-wide
,3,3.3,Data,Protect,Configure Data Access Control Lists,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",x,x,x,Subset,AC-3,Access Enforcement,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,
,3,3.3,Data,Protect,Configure Data Access Control Lists,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",x,x,x,Subset,AC-5,Separation of Duties,"a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and
b. Define system access authorizations to support separation of duties.",x
,3,3.3,Data,Protect,Configure Data Access Control Lists,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",x,x,x,Subset,AC-6,Least Privilege,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",x
,3,3.3,Data,Protect,Configure Data Access Control Lists,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",x,x,x,Superset,MP-2,Media Access,Restrict access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].,
,3,3.4,Data,Protect,Enforce Data Retention,Retain data according to the enterprise’s documented data management process. Data retention must include both minimum and maximum timelines.,x,x,x,Subset,AU-11,Audit Record Retention,Retain audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,
,3,3.4,Data,Protect,Enforce Data Retention,Retain data according to the enterprise’s documented data management process. Data retention must include both minimum and maximum timelines.,x,x,x,Subset,SI-12,Information Management and Retention,"Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, standards, guidelines and operational requirements.",
,3,3.5,Data,Protect,Securely Dispose of Data,Securely dispose of data as outlined in the enterprise’s documented data management process. Ensure the disposal process and method are commensurate with the data sensitivity.,x,x,x,Subset,MP-6,Media Sanitization,"a. Sanitize [Assignment: organization-defined system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures]; and
b. Employ sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.",
,3,3.5,Data,Protect,Securely Dispose of Data,Securely dispose of data as outlined in the enterprise’s documented data management process. Ensure the disposal process and method are commensurate with the data sensitivity.,x,x,x,Subset,SR-12,Component Disposal,"Dispose of [Assignment: organization-defined data, documentation, tools, or system components] using the following techniques and methods: [Assignment: organization-defined techniques and methods].",
,3,3.6,Data,Protect,Encrypt Data on End-User Devices,"Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt.",x,x,x,Subset,SC-28,Protection of Information at Rest,Protect the [Selection (one or more): confidentiality; integrity] of the following information at rest: [Assignment: organization-defined information at rest].,x
,3,3.7,Devices,Identify,Establish and Maintain a Data Classification Scheme,"Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x,Subset,RA-2,Security Categorization,"a. Categorize the system and information it processes, stores, and transmits;
b. Document the security categorization results, including supporting rationale, in the security plan for the system; and
c. Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision.",
,3,3.8,Data,Identify,Document Data Flows,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x,Subset,AC-4,Information Flow Enforcement,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].,x
,3,3.8,Data,Identify,Document Data Flows,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",,x,x,Subset,CM-12,Information Location,"a. Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;
b. Identify and document the users who have access to the system and system components where the information is processed and stored; and
c. Document changes to the location (i.e., system or system components) where the information is processed and stored.",x
,3,3.9,Data,Protect,Encrypt Data on Removable Media,Encrypt data on removable media.,,x,x,Subset,MP-5,Media Transport,"a. Protect and control [Assignment: organization-defined types of system media] during transport outside of controlled areas using [Assignment: organization-defined controls];
b. Maintain accountability for system media during transport outside of controlled areas;
c. Document activities associated with the transport of system media; and
d. Restrict the activities associated with the transport of system media to authorized personnel.",x
,3,3.9,Data,Protect,Encrypt Data on Removable Media,Encrypt data on removable media.,,x,x,Subset,MP-7,Media Use,a. [Selection: Restrict; Prohibit] the use of [Assignment: organization-defined types of system media] on [Assignment: organization-defined systems or system components] using [Assignment: organization-defined controls];,
,3,3.10,Data,Protect,Encrypt Sensitive Data in Transit,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,,x,x,Subset,AC-17(2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,x
,3,3.10,Data,Protect,Encrypt Sensitive Data in Transit,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,,x,x,Subset,IA-5,Authenticator Management,g. Protecting authenticator content from unauthorized disclosure and modification;,
,3,3.10,Data,Protect,Encrypt Sensitive Data in Transit,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,,x,x,Subset,IA-5(1),Authenticator Management | Password-based Authentication,(c) Transmit passwords only over cryptographically-protected channels;,
,3,3.10,Data,Protect,Encrypt Sensitive Data in Transit,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,,x,x,Subset,SC-8,Transmission Confidentiality and Integrity,Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.,x
,3,3.10,Data,Protect,Encrypt Sensitive Data in Transit,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).,,x,x,Subset,SC-8(1),Transmission Confidentiality and Integrity | Cryptographic Protection,Implement cryptographic mechanisms to [Selection (one or more): prevent unauthorized disclosure of information; detect changes to information] during transmission.,x
,3,3.11,Data,Protect,Encrypt Sensitive Data at Rest,"Encrypt sensitive data at rest on servers, applications, and databases. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",,x,x,Superset,IA-5(1),Authenticator Management | Password-based Authentication,"(d) Store passwords using an approved salted key derivation function, preferably using a keyed hash;",
,3,3.11,Data,Protect,Encrypt Sensitive Data at Rest,"Encrypt sensitive data at rest on servers, applications, and databases. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",,x,x,Equivalent,SC-28,Protection of Information at Rest,Protect the [Selection (one or more): confidentiality; integrity] of the following information at rest: [Assignment: organization-defined information at rest].,x
,3,3.11,Data,Protect,Encrypt Sensitive Data at Rest,"Encrypt sensitive data at rest on servers, applications, and databases. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data. ",,x,x,Superset,SC-28(1),Protection of Information at Rest | Cryptographic Protection,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [Assignment: organization-defined system components or media]: [Assignment: organization-defined information].,x
,3,3.12,Data,Protect,Segment Data Processing and Storage Based on Sensitivity,Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.,,x,x,,,,,
,3,3.13,Data,Protect,Deploy a Data Loss Prevention Solution,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's  data inventory.",,,x,Subset,CA-7,Continuous Monitoring,d. Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;,
,3,3.13,Data,Protect,Deploy a Data Loss Prevention Solution,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's  data inventory.",,,x,Subset,CM-12,Information Location,"a. Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;
b. Identify and document the users who have access to the system and system components where the information is processed and stored; and
c. Document changes to the location (i.e., system or system components) where the information is processed and stored.",x
,3,3.13,Data,Protect,Deploy a Data Loss Prevention Solution,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's  data inventory.",,,x,Subset,CM-12(1),Information Location | Automated Tools to Support Information Location,Use automated tools to identify [Assignment: organization-defined information by information type] on [Assignment: organization-defined system components] to ensure controls are in place to protect organizational information and individual privacy.,x
,3,3.13,Data,Protect,Deploy a Data Loss Prevention Solution,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's  data inventory.",,,x,Subset,SC-4,Information in Shared System Resources,Prevent unauthorized and unintended information transfer via shared system resources.,x
,3,3.14,Data,Detect,Log Sensitive Data Access,"Log sensitive data access, including modification and disposal. ",,,x,Subset,AC-6(9),Least Privilege | Log Use of Privileged Functions,Log the execution of privileged functions.,x
,3,3.14,Data,Detect,Log Sensitive Data Access,"Log sensitive data access, including modification and disposal. ",,,x,Subset,AU-2,Event Logging,c. Specify the following event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type];,
